,Biedronka,Biedronka,7791011327
,Zabka,Zabka,8111611863
,Kazar,Kazar,7951532361
,Intersport,Intersport ,6760016553
,Pandora,Pandora,5222915323
,Minty Dot,Qdiamonds,5272549553
,Red Rubin,Red Rubin,5272328958
,CCC,CCC,6922200609
,Hebe,Hebe,2090001776
,Wittchen,Wittchen,9521022154
,Circle K,Circle K,7790001083
,Multikino,Multikino,5212893057
,Carrefour,Carrefour,9370008168
,Shell,Shell,5261009190
,BP,BP,9720865431
,Douglas,Douglas,8971660890
,Media Expert,MediaExpert,7671004218
,Media Markt,Media Markt,1132485130
,"5,10,15",5. 10. 15,5262643581